,,thin,thick,nn2,genhalf,ex64,ev2li
j-10-10-r-10-5,14,0.12115087360143661,0.14398473501205444,0.3935086131095886,0.3173745572566986,0.6455312967300415,0.11515922844409943
j-10-10-r-10-5,15,0.05783809721469879,0.17582008242607117,0.19447089731693268,0.2513846457004547,0.6476545929908752,0.11494001001119614
j-10-10-r-10-5,16,0.08942592144012451,0.08621223270893097,0.10726586729288101,0.3658422827720642,0.7175418734550476,0.03294297307729721
j-10-10-r-10-5,17,0.05004321411252022,0.10689790546894073,0.3875664472579956,0.3581602871417999,0.7105594277381897,0.1556408554315567
j-10-10-r-10-5,18,0.02136055752635002,0.12448867410421371,0.13752463459968567,0.33089306950569153,0.8445557355880737,0.06252782791852951
j-10-10-r-10-5,19,0.16735884547233582,0.10837826877832413,0.42077118158340454,0.35170745849609375,0.7011007070541382,0.09985380619764328
j-10-10-r-10-5,20,0.06612224131822586,0.2811415493488312,0.16788700222969055,0.3781147003173828,0.8127323985099792,0.1097663938999176
j-10-10-r-10-5,21,0.0416058711707592,0.24241121113300323,0.4262961447238922,0.3298313319683075,0.684107780456543,0.1793077141046524
j-10-10-r-10-5,22,0.12587782740592957,0.03346868231892586,0.2271614670753479,0.39380955696105957,0.7289011478424072,0.09352538734674454
j-10-10-r-10-5,23,0.052861619740724564,0.09519151598215103,0.3931681215763092,0.33533382415771484,0.7858667969703674,0.24265924096107483
j-10-10-r-10-5,24,0.17358677089214325,0.25776129961013794,0.7168523073196411,0.35989513993263245,0.7342134714126587,0.31724435091018677
j-10-10-r-10-5,25,0.03292083740234375,0.1811932474374771,0.38822436332702637,0.33362093567848206,0.78679358959198,0.19288751482963562
j-10-10-r-10-5,26,0.20393401384353638,0.08621029555797577,0.6589707136154175,0.3605283796787262,0.6929972767829895,0.31410256028175354
j-10-10-r-10-5,27,0.026548117399215698,0.20888033509254456,0.07513736933469772,0.3735373020172119,0.6813205480575562,0.011019790545105934
j-10-10-r-10-5,28,0.17853662371635437,0.03064412623643875,0.2793465852737427,0.3693760633468628,0.685899555683136,0.13832241296768188
j-10-10-r-10-5,29,0.05271048843860626,0.16352218389511108,0.27668488025665283,0.3523884415626526,0.5985882878303528,0.04208003729581833
j-10-10-r-10-5,30,0.17820830643177032,0.0926133394241333,0.38891375064849854,0.39590519666671753,0.927766740322113,0.21271151304244995
j-10-10-r-10-5,31,0.10634282231330872,0.013394955545663834,0.21411126852035522,0.3702300190925598,0.7845595479011536,0.08999227732419968
j-10-10-r-10-5,32,0.11747398972511292,0.0585063137114048,0.5031161308288574,0.4195273518562317,0.8738529682159424,0.2378675788640976
j-10-10-r-10-5,33,0.03236925229430199,0.2790771722793579,0.5659509897232056,0.31965371966362,0.7217022776603699,0.3654930293560028
j-10-10-r-10-5,34,0.013335294090211391,0.09306488186120987,0.40299996733665466,0.4500047564506531,0.8278958201408386,0.21948960423469543
j-10-10-r-10-5,35,0.13621848821640015,0.18814989924430847,0.3724101781845093,0.37428200244903564,0.869493305683136,0.18037110567092896
j-10-10-r-10-5,36,0.0654011145234108,0.1494751274585724,0.10988234728574753,0.3112001121044159,0.7337805032730103,0.06972529739141464
j-10-10-r-10-5,37,0.0791935995221138,0.2187962383031845,0.34809625148773193,0.3527093529701233,0.7067490220069885,0.10484765470027924
j-10-10-r-10-5,38,0.0984644889831543,0.3157016932964325,0.5657522678375244,0.3309814929962158,0.7334085702896118,0.20818842947483063
